energy,abs1,abs2,abs3,abs4
0.145151,2.266551E-26,1.139972E-49,1.37052E-25,2.046406E-49
0.11505,9.170649E-26,-4.241304E-49,-6.708215E-26,-2.151201E-49
0.1,2.551159E-26,3.397597E-49,5.227049E-26,3.930361E-49
0.110033,1.808108E-25,-1.607421E-49,7.794201E-29,-2.946208E-49
0.175251,-2.219541E-25,3.795744E-49,-1.639166E-25,-5.530239E-50
0.165217,-4.969844E-26,-1.284667E-49,1.386702E-25,-2.509027E-50
0.1301,3.13623E-25,1.95154E-49,1.098446E-25,-3.321287E-50
0.135117,3.637957E-25,-2.875638E-49,-9.991132E-26,-2.416389E-49
0.125084,9.738486E-26,3.342897E-49,1.278429E-25,3.150071E-49
0.105017,1.442532E-25,3.464578E-49,7.775623E-26,1.339218E-49
0.155184,-3.280343E-24,1.560584E-49,-4.300093E-25,-2.203169E-49
0.140134,1.48786E-25,-3.892002E-49,-2.128347E-25,3.563973E-51
0.160201,-6.727066E-25,-9.931175E-50,4.316178E-25,-3.957364E-49
0.120067,1.745419E-27,7.137536E-51,-7.757339E-27,1.268539E-49
0.170234,-4.694015E-26,2.863035E-49,-1.738245E-25,1.176494E-49
0.150167,1.189297E-24,-1.846333E-49,1.128108E-24,6.253345E-49
0.146154,6.459748E-25,1.338202E-49,5.372096E-25,3.282183E-49
0.101003,1.470814E-25,2.423753E-49,6.768617E-26,1.327107E-49
0.111037,6.72497E-26,-4.035211E-49,-5.744366E-26,-1.910307E-49
0.156187,-1.301463E-24,2.217332E-49,9.542498E-25,-6.972641E-49
0.116054,7.859231E-28,8.792254E-50,8.872508E-27,1.746594E-49
0.126087,2.82594E-25,1.457079E-49,7.522189E-26,-9.668714E-50
0.13612,7.94663E-26,-3.078162E-49,-1.394179E-25,-3.271333E-52
0.166221,-1.000759E-25,3.669886E-49,-2.612299E-25,8.546524E-50
0.176254,-2.831306E-25,-1.053369E-49,6.490992E-26,-2.062192E-49
0.161204,-3.309643E-26,-7.581969E-50,1.21117E-25,9.409816E-51
0.131104,2.751049E-25,-3.470908E-49,-9.794221E-26,-2.434947E-49
0.12107,1.116962E-25,3.441321E-49,1.168064E-25,3.118829E-49
0.151171,3.366143E-24,-9.106267E-50,8.63845E-26,-4.3209E-50
0.10602,1.580821E-25,-2.492806E-49,-8.10953E-27,-3.264591E-49
0.141137,3.600532E-26,1.688748E-49,1.481351E-25,2.412439E-49
0.171237,-3.057857E-25,3.429243E-49,-1.771864E-25,-7.892122E-50
0.147157,1.221591E-24,-4.642727E-50,-3.558522E-26,-2.235063E-49
0.157191,-2.824263E-26,-2.577389E-51,3.957924E-26,2.628136E-50
0.137124,5.190005E-26,2.181348E-49,1.471827E-25,2.734753E-49
0.11204,3.554801E-27,1.664228E-49,2.253119E-26,2.248892E-49
0.102007,1.36388E-25,-1.006007E-49,-1.277931E-26,-5.843443E-49
0.117057,1.219429E-25,3.632127E-49,1.082175E-25,2.878409E-49
0.167224,-4.327516E-25,2.922319E-49,-1.917178E-25,-1.008951E-49
0.177258,-8.817743E-26,-2.424025E-49,1.323898E-25,-1.09443E-49
0.12709,2.105586E-25,-3.93419E-49,-9.287618E-26,-2.417283E-49
0.14214,4.835529E-25,2.158902E-49,3.292245E-25,1.996928E-49
0.152174,3.479774E-24,-1.649682E-48,-3.119104E-24,1.303398E-48
0.132107,4.083757E-26,-2.295035E-49,-9.079722E-26,1.465472E-50
0.162207,-2.125874E-25,4.663234E-49,-4.14613E-25,1.835569E-50
0.107023,4.788826E-26,-3.6777E-49,-4.769062E-26,-1.573163E-49
0.122074,2.552612E-25,8.398893E-50,4.687077E-26,-1.722101E-49
0.172241,-3.287406E-25,-1.481093E-49,1.073325E-25,-2.288809E-49
0.148161,6.792629E-25,-6.54113E-49,-6.609215E-25,1.729273E-49
0.11806,2.287809E-25,8.231259E-51,2.783824E-26,-2.071289E-49
0.168227,-3.905099E-25,-1.725292E-49,1.662714E-25,-2.595685E-49
0.158194,-5.243444E-25,6.309277E-49,-7.815807E-25,-1.446502E-49
0.10301,3.277973E-26,-3.383145E-49,-3.802431E-26,-9.305253E-50
0.113043,1.314742E-25,3.670516E-49,9.833021E-26,2.518771E-49
0.138127,4.026139E-25,2.371559E-49,2.228547E-25,1.104279E-49
0.143144,7.212772E-25,-1.350429E-49,-8.199866E-26,-2.31628E-49
0.178261,-5.39117E-27,1.412163E-49,-7.266282E-26,1.323897E-49
0.13311,6.779702E-26,2.623585E-49,1.423493E-25,2.980378E-49
0.163211,-6.515141E-25,2.278597E-49,-2.101241E-25,-1.194875E-49
0.153177,4.084471E-25,-3.564068E-49,-5.156559E-24,4.334415E-49
0.128094,1.862637E-26,-1.506273E-49,-5.566228E-26,4.272338E-50
0.108027,8.992731E-27,2.432475E-49,3.385942E-26,2.723062E-49
0.123077,1.608707E-25,-4.337753E-49,-8.671504E-26,-2.29197E-49
0.173244,-7.728338E-26,-2.118174E-49,1.385392E-25,-8.63891E-50
0.149164,4.706829E-26,3.50988E-50,4.172133E-26,1.805894E-49
0.119064,1.222988E-25,-4.26102E-49,-7.611279E-26,-2.32694E-49
0.104013,1.64529E-26,3.29964E-49,4.352321E-26,3.009137E-49
0.144147,2.89194E-25,-4.863584E-49,-3.426886E-25,4.115636E-50
0.169231,-6.450627E-26,-1.735456E-49,1.414498E-25,-5.802462E-50
0.13913,4.958293E-25,-2.162312E-49,-9.646945E-26,-2.374006E-49
0.114047,2.043901E-25,-7.413317E-50,1.193394E-26,-2.541598E-49
0.159197,-1.133615E-24,1.520074E-49,-2.413104E-25,-1.334191E-49
0.134114,3.514094E-25,2.271372E-49,1.563293E-25,3.510472E-50
0.154181,-2.920011E-24,1.600676E-48,-3.630284E-24,-1.213389E-48
0.179264,-1.623403E-25,4.019935E-49,-1.508332E-25,-3.1113E-50
0.164214,-4.863332E-25,-1.67274E-49,2.578245E-25,-3.063674E-49
0.174247,-1.9403E-26,2.122628E-49,-1.154215E-25,1.310695E-49
0.10903,1.389935E-25,3.595626E-49,8.808502E-26,2.023807E-49
0.12408,6.235624E-27,-7.000644E-50,-2.889549E-26,8.109613E-50
0.129097,8.30755E-26,3.009727E-49,1.356025E-25,3.12689E-49
0.180268,-2.463252E-25,-5.018996E-50,3.239569E-26,-1.882486E-49
0.190301,-1.204185E-27,-5.817594E-50,7.600559E-27,9.607381E-50
0.185284,-1.0435E-25,-2.75908E-49,1.137997E-25,-1.399104E-49
0.195318,-3.899064E-26,3.550725E-49,-9.499304E-26,5.446686E-50
0.215385,8.789925E-28,7.075417E-50,-2.341477E-26,1.082553E-49
0.210368,-3.421697E-26,-2.951381E-49,5.891572E-26,7.153354E-51
0.205351,-1.115962E-25,-1.654365E-49,4.898304E-26,-1.611271E-49
0.200334,-1.174846E-25,2.734542E-49,-5.35304E-26,-1.278923E-49
0.230435,-6.061623E-26,-2.911426E-49,4.897756E-26,-5.866233E-50
0.220401,-3.863209E-26,4.205926E-49,-6.550219E-26,-6.878563E-50
0.225418,-8.090352E-26,1.710611E-49,-1.224321E-26,-1.882796E-49
0.245485,-3.815658E-26,5.051755E-49,-4.348438E-26,-2.234674E-49
0.240468,-2.901863E-27,2.330958E-49,-3.549421E-26,1.806584E-50
0.235452,-1.041815E-26,-2.767523E-49,2.788548E-26,1.281523E-49
0.250502,-5.915604E-26,4.481602E-50,1.033826E-26,-1.744176E-49
0.255518,-3.327801E-26,-4.501575E-49,4.196196E-26,1.447536E-49
0.181271,-9.720931E-26,-2.64122E-49,1.239667E-25,-1.271389E-49
0.191304,-5.867148E-26,3.85834E-49,-1.095211E-25,3.605801E-50
0.186288,1.382356E-27,5.556175E-51,-1.34377E-26,1.125477E-49
0.196321,-1.386366E-25,2.134065E-49,-4.361934E-26,-1.383313E-49
0.206355,-2.685114E-26,-2.625836E-49,5.456246E-26,2.285075E-50
0.216388,-5.084698E-26,4.163409E-49,-6.737464E-26,-8.227143E-50
0.231438,-6.193964E-27,-2.125849E-49,2.031794E-26,1.247183E-49
0.211371,-1.387593E-27,1.396315E-49,-3.690603E-26,1.019429E-49
0.226421,-5.735496E-26,-3.169093E-49,5.435883E-26,-4.468387E-50
0.221405,-8.895124E-26,9.551787E-50,-1.803694E-27,-1.796397E-49
0.201338,-1.137839E-25,-2.102233E-49,6.276999E-26,-1.592159E-49
0.246488,-6.1656E-26,-3.905656E-50,1.870597E-26,-1.326203E-49
0.236455,-6.881493E-27,2.987867E-49,-4.342909E-26,-1.224926E-51
0.241472,-4.632026E-26,4.320072E-49,-4.026354E-26,-2.398471E-49
0.251505,-2.918977E-26,-4.380991E-49,4.226444E-26,1.480421E-49
0.256522,3.140213E-28,-1.038719E-49,-1.753894E-27,1.601885E-49
0.182274,5.675195E-28,7.225589E-50,-3.965309E-26,1.253414E-49
0.192308,-1.617159E-25,1.480007E-49,-3.059035E-26,-1.490489E-49
0.187291,-8.444629E-26,4.045544E-49,-1.237149E-25,1.530387E-50
0.207358,-6.005402E-27,2.041998E-49,-5.102398E-26,9.376946E-50
0.197324,-1.142399E-25,-2.440544E-49,7.644736E-26,-1.571251E-49
0.232441,-1.236255E-26,3.497677E-49,-5.065111E-26,-2.043716E-50
0.217391,-9.628035E-26,2.176706E-50,9.745005E-27,-1.72651E-49
0.202341,-1.942049E-26,-2.213916E-49,4.753789E-26,4.013008E-50
0.212375,-6.483678E-26,3.985124E-49,-6.732919E-26,-9.474424E-50
0.227425,-2.65929E-27,-1.440978E-49,1.126972E-26,1.210885E-49
0.247492,-2.46684E-26,-4.095173E-49,4.106284E-26,1.49978E-49
0.222408,-5.294767E-26,-3.296051E-49,5.830518E-26,-3.211244E-50
0.237458,-5.487318E-26,3.81193E-49,-3.549503E-26,-2.222904E-49
0.252508,1.15343E-27,-3.97078E-51,-9.991629E-27,1.203605E-49
0.242475,-6.313917E-26,-1.439523E-49,2.70238E-26,-1.295944E-49
0.257525,-1.743776E-26,5.58401E-49,-4.422135E-26,-2.416111E-49
0.183278,-1.180785E-25,4.101914E-49,-1.374851E-25,-7.309474E-51
0.193311,-1.128568E-25,-2.663153E-49,8.971683E-26,-1.539054E-49
0.188294,-1.869619E-25,8.010164E-50,-1.403793E-26,-1.605267E-49
0.208361,-8.060614E-26,3.678789E-49,-6.515062E-26,-1.063716E-49
0.198328,-1.232223E-26,-1.727867E-49,3.758834E-26,5.863236E-50
0.218395,-4.75057E-26,-3.296772E-49,6.054842E-26,-1.983726E-50
0.228428,-1.943547E-26,3.872123E-49,-5.690318E-26,-3.806134E-50
0.213378,-1.026481E-25,-4.773456E-50,2.221126E-26,-1.673682E-49
0.233445,-6.363035E-26,3.168875E-49,-2.919483E-26,-2.096655E-49
0.223411,-9.700154E-29,-7.288234E-50,8.600505E-28,1.173456E-49
0.203344,-1.342964E-26,2.627312E-49,-6.555217E-26,8.330155E-50
0.253512,-2.360047E-26,5.533706E-49,-4.539388E-26,-2.423085E-49
0.243478,-1.989252E-26,-3.86292E-49,3.82828E-26,1.321597E-49
0.238462,-6.350047E-26,-2.013826E-49,3.50271E-26,-9.696373E-50
0.248495,9.901136E-28,8.968826E-50,-1.852165E-26,8.72909E-50
0.258528,-5.165913E-26,2.515569E-49,-5.579913E-27,-2.703222E-49
0.184281,-2.148566E-25,1.288641E-50,6.636676E-27,-1.733505E-49
0.194314,-6.044416E-27,-1.179888E-49,2.441069E-26,7.763655E-50
0.189298,-1.095688E-25,-2.768463E-49,1.022724E-25,-1.485158E-49
0.209365,-1.078236E-25,-1.10769E-49,3.537334E-26,-1.636487E-49
0.199331,-2.420116E-26,3.135514E-49,-8.027625E-26,7.024133E-50
0.219398,1.190814E-27,-6.748458E-52,-1.076041E-26,1.13217E-49
0.214381,-4.119096E-26,-3.178692E-49,6.083292E-26,-6.962764E-51
0.234448,-6.266954E-26,-2.523034E-49,4.243928E-26,-7.540552E-50
0.244482,-3.178245E-28,1.723614E-49,-2.710594E-26,5.668772E-50
0.254515,-5.577243E-26,1.432753E-49,2.16792E-27,-2.18941E-49
0.229431,-7.238304E-26,2.457748E-49,-2.141487E-26,-1.983682E-49
0.204348,-9.815347E-26,3.256422E-49,-6.062504E-26,-1.173416E-49
0.249498,-3.054019E-26,5.338877E-49,-4.517676E-26,-2.370057E-49
0.224415,-2.817364E-26,4.108934E-49,-6.19343E-26,-5.411349E-50
0.239465,-1.50667E-26,-3.357856E-49,3.388875E-26,1.302583E-49
0.259532,-3.678363E-26,-4.452554E-49,4.026557E-26,1.365524E-49
0.260535,-1.377177E-27,-2.096681E-49,5.970869E-27,2.06727E-49
0.265552,-7.701581E-27,5.161481E-49,-3.81984E-26,-2.178508E-49
0.270569,-3.662228E-26,6.189382E-49,-2.44436E-26,-4.773767E-49
0.275585,-4.312022E-26,-2.098362E-49,2.276396E-26,-1.031746E-50
0.280602,-1.690796E-26,-8.043383E-49,3.107933E-26,5.711653E-49
0.290635,-1.208383E-26,1.430543E-48,-3.480994E-26,-1.153812E-48
0.285619,1.145917E-27,-2.907217E-50,-9.622333E-27,1.385392E-49
0.295652,-3.379683E-26,1.288655E-48,-8.074012E-27,-1.267396E-48
0.305686,-7.081096E-27,-2.473489E-47,1.855483E-26,2.459974E-47
0.310702,4.293892E-28,-1.53704E-48,-1.954885E-26,1.725116E-48
0.300669,-3.027034E-26,-2.145216E-48,2.789725E-26,1.888938E-48
0.315719,-1.554256E-26,-2.236899E-48,-2.736627E-26,2.454079E-48
0.325753,-1.990176E-26,7.687325E-49,2.733829E-26,-1.015752E-48
0.320736,-2.981595E-26,-4.09927E-49,5.050755E-27,3.271803E-49
0.330769,-1.644332E-27,4.164738E-49,6.15828E-27,-4.473163E-49
0.335786,-1.850316E-27,-4.000436E-49,-2.426599E-26,6.264375E-49
0.261538,-1.212368E-26,5.466123E-49,-4.177511E-26,-2.340694E-49
0.271572,-4.278771E-26,-3.074628E-49,2.836417E-26,5.197313E-50
0.266555,-4.191441E-26,4.904427E-49,-1.904143E-26,-3.985079E-49
0.281605,1.041311E-27,1.530232E-49,-1.610224E-26,5.414225E-51
0.276589,-1.340329E-26,-6.766892E-49,2.824615E-26,4.759536E-49
0.291639,-3.684496E-26,7.054075E-49,-2.201944E-27,-7.35313E-49
0.306689,-8.32585E-28,-2.982372E-47,-2.408327E-26,3.004505E-47
0.286622,-1.631368E-26,1.21958E-48,-3.503375E-26,-9.518964E-49
0.311706,-1.919518E-26,-3.909688E-48,-2.519651E-26,4.100075E-48
0.296656,-2.852209E-26,-1.562189E-48,3.064018E-26,1.291802E-48
0.301672,-4.609037E-27,-3.041016E-48,1.405793E-26,2.949131E-48
0.316722,-3.109315E-26,-2.254284E-49,1.027605E-26,9.84743E-50
0.326756,-2.773447E-28,3.652413E-49,1.187396E-27,-3.504314E-49
0.321739,-1.764683E-26,1.072069E-48,2.752273E-26,-1.313009E-48
0.331773,-3.779333E-27,-5.733702E-49,-2.661858E-26,8.145689E-49
0.336789,-2.064305E-26,-5.333883E-49,-1.4055E-26,6.291577E-49
0.262542,-4.698282E-26,3.67721E-49,-1.270638E-26,-3.298601E-49
0.272575,-9.939096E-27,-5.541564E-49,2.423713E-26,3.939057E-49
0.267559,-4.160687E-26,-3.766171E-49,3.328515E-26,9.37968E-50
0.282609,-2.098919E-26,1.047408E-48,-3.411908E-26,-7.98317E-49
0.277592,1.53055E-28,2.888206E-49,-2.240747E-26,-8.547587E-50
0.307692,-2.29605E-26,-1.49682E-47,-2.210601E-26,1.512449E-47
0.287625,-3.940534E-26,3.476091E-49,4.009909E-27,-4.289982E-49
0.292642,-2.622208E-26,-1.282451E-48,3.24244E-26,1.007052E-48
0.297659,-2.439761E-27,-1.337213E-48,8.839274E-27,1.293009E-48
0.312709,-3.18131E-26,2.168059E-49,1.534845E-26,-3.846499E-49
0.302676,-2.72343E-27,3.844603E-48,-2.801884E-26,-3.59681E-48
0.317726,-1.513343E-26,1.533737E-48,2.673483E-26,-1.76002E-48
0.332776,-2.336777E-26,-5.456274E-49,-9.852143E-27,5.996163E-49
0.327759,-6.157976E-27,-7.93632E-49,-2.816969E-26,1.041589E-48
0.322742,6.750361E-28,2.623582E-49,-4.03772E-27,-2.012487E-49
0.337793,-2.434602E-26,2.306263E-49,2.153704E-26,-4.458149E-49
0.263545,-3.958854E-26,-4.215358E-49,3.731692E-26,1.20638E-49
0.273579,-1.576675E-27,3.905704E-49,-2.832746E-26,-1.48001E-49
0.283612,-4.136561E-26,1.016516E-49,1.037633E-26,-2.330807E-49
0.268562,-6.671084E-27,-4.35469E-49,1.911746E-26,3.226277E-49
0.308696,-3.192857E-26,2.169333E-48,2.009125E-26,-2.373248E-48
0.278595,-2.601382E-26,8.948163E-49,-3.203964E-26,-6.73486E-49
0.293645,-6.873954E-28,-6.632187E-49,3.039871E-27,6.69589E-49
0.288629,-2.344838E-26,-1.093391E-48,3.314027E-26,8.225092E-49
0.313712,-1.246065E-26,2.404334E-48,2.496014E-26,-2.607668E-48
0.303679,-2.672934E-26,7.057868E-48,-1.815693E-26,-6.941989E-48
0.298662,-5.243347E-27,2.26209E-48,-3.120389E-26,-1.995726E-48
0.328763,-2.586786E-26,-5.371571E-49,-5.172591E-27,5.46461E-49
0.318729,1.145772E-27,6.566308E-50,-9.351503E-27,4.080899E-50
0.333779,-2.33113E-26,3.713944E-49,2.42605E-26,-6.051279E-49
0.323746,-8.94878E-27,-1.087431E-48,-2.884186E-26,1.333686E-48
0.338796,-5.308998E-27,4.309587E-49,1.474143E-26,-5.451252E-49
0.264548,-3.761031E-27,-3.204755E-49,1.29844E-26,2.605941E-49
0.274582,-3.127052E-26,7.532578E-49,-2.880142E-26,-5.681215E-49
0.269565,-4.187662E-27,4.650098E-49,-3.365592E-26,-1.90366E-49
0.309699,-9.737891E-27,5.137751E-48,2.221656E-26,-5.310423E-48
0.284615,-2.03028E-26,-9.405368E-49,3.270749E-26,6.838048E-49
0.279599,-4.262907E-26,-7.717716E-50,1.669734E-26,-1.010837E-49
0.294649,-8.375321E-27,1.728024E-48,-3.350474E-26,-1.451824E-48
0.289632,5.406218E-28,-2.821264E-49,-3.175412E-27,3.403056E-49
0.314716,1.078598E-27,-3.460418E-49,-1.458054E-26,4.9535E-49
0.304682,-3.141445E-26,-5.327345E-48,2.432981E-26,5.093551E-48
0.319732,-1.209951E-26,-1.514206E-48,-2.85825E-26,1.750155E-48
0.299666,-3.038298E-26,2.487687E-48,-1.344019E-26,-2.417298E-48
0.329766,-2.181285E-26,5.457441E-49,2.622659E-26,-7.902668E-49
0.324749,-2.804739E-26,-4.982804E-49,-1.53929E-28,4.614845E-49
0.334783,-3.349685E-27,4.350137E-49,1.072197E-26,-5.093302E-49
0.339799,-3.964232E-28,-2.601828E-49,-2.121236E-26,4.64383E-49
0.340803,-1.779397E-26,-5.061826E-49,-1.766083E-26,6.394442E-49
0.345819,-2.49235E-26,2.236506E-50,1.433121E-26,-1.808908E-49
0.350836,-1.178097E-26,3.394359E-49,2.256643E-26,-5.403213E-49
0.36087,-4.733533E-27,-2.665581E-49,-2.440574E-26,4.913793E-49
0.355853,7.611933E-28,7.987151E-50,-4.6324E-27,-1.622269E-50
0.365886,-1.871735E-26,-2.135157E-49,-7.343317E-27,2.542099E-49
0.370903,-1.956683E-26,9.412781E-50,1.947619E-26,-2.938964E-49
0.37592,-5.836097E-27,1.891959E-49,1.51166E-26,-3.190662E-49
0.380936,1.093196E-27,-2.283593E-50,-1.272334E-26,1.587862E-49
0.385953,-7.579657E-27,-1.899278E-49,-2.083218E-26,3.785812E-49
0.395987,-1.420149E-26,1.053704E-49,2.059399E-26,-3.099988E-49
0.39097,-1.829398E-26,-8.839358E-50,2.180151E-27,4.201632E-50
0.341806,-2.488201E-26,1.157892E-49,1.817833E-26,-3.054822E-49
0.356856,-6.943746E-27,-3.209188E-49,-2.467615E-26,5.423074E-49
0.361873,-2.064697E-26,-1.923407E-49,-3.181024E-27,1.920944E-49
0.346823,-9.607087E-27,3.792331E-49,2.07352E-26,-5.576111E-49
0.351839,1.135973E-27,2.082005E-50,-9.154206E-27,8.335848E-50
0.371906,-4.08964E-27,1.877715E-49,1.198537E-26,-2.846365E-49
0.36689,-1.863836E-26,1.43015E-49,2.160467E-26,-3.579481E-49
0.38194,-9.755717E-27,-2.076647E-49,-1.938758E-26,3.776688E-49
0.376923,6.812931E-28,-6.436417E-50,-1.615063E-26,2.300464E-49
0.386957,-1.929645E-26,-6.245193E-50,6.113402E-27,-2.130611E-50
0.39699,-7.289403E-28,8.929198E-50,2.829117E-27,-9.975649E-50
0.391973,-1.281053E-26,1.301046E-49,2.095066E-26,-3.334668E-49
0.342809,-7.424344E-27,4.106221E-49,1.810257E-26,-5.597513E-49
0.35786,-2.229776E-26,-1.595326E-49,1.211361E-27,1.174515E-49
0.362876,-1.734356E-26,1.936106E-49,2.30395E-26,-4.165515E-49
0.347826,1.081092E-27,-5.410829E-50,-1.352548E-26,1.960947E-49
0.352843,-9.421292E-27,-3.740066E-49,-2.413026E-26,5.841811E-49
0.367893,-2.489335E-27,1.773749E-49,8.327576E-27,-2.371344E-49
0.37291,-1.12991E-28,-1.103552E-49,-1.913673E-26,3.006547E-49
0.377926,-1.202835E-26,-2.201502E-49,-1.725392E-26,3.652042E-49
0.382943,-1.995245E-26,-3.076379E-50,9.940534E-27,-8.823863E-50
0.38796,-1.121344E-26,1.52089E-49,2.057796E-26,-3.470815E-49
0.397993,-2.186407E-27,-1.170076E-49,-2.08598E-26,3.199847E-49
0.392977,1.884816E-28,6.988355E-50,-1.06882E-27,-4.217894E-50
0.343813,5.724182E-28,-1.466844E-49,-1.75887E-26,3.223462E-49
0.358863,-1.572725E-26,2.444173E-49,2.370725E-26,-4.677706E-49
0.36388,-1.105343E-27,1.567706E-49,4.252372E-27,-1.765163E-49
0.348829,-1.210688E-26,-4.239605E-49,-2.275996E-26,6.153298E-49
0.353846,-2.359927E-26,-1.137613E-49,5.694302E-27,3.038224E-50
0.368896,-1.28958E-27,-1.600445E-49,-2.156923E-26,3.688855E-49
0.373913,-1.432959E-26,-2.261366E-49,-1.448286E-26,3.406686E-49
0.383946,-9.472008E-27,1.701003E-49,1.946657E-26,-3.497601E-49
0.37893,-2.022728E-26,6.317498E-51,1.352844E-26,-1.571638E-49
0.388963,8.218294E-28,4.463083E-50,-5.049306E-27,2.107257E-50
0.398997,-1.544522E-26,-1.226522E-49,-5.48055E-27,1.522037E-49
0.39398,-3.748664E-27,-1.434789E-49,-2.156222E-26,3.487602E-49
0.344816,-1.492481E-26,-4.686019E-49,-2.058358E-26,6.340277E-49
0.359866,-2.518679E-30,1.247066E-49,-1.140747E-28,-1.028483E-49
0.364883,-2.83731E-27,-2.124889E-49,-2.335144E-26,4.330224E-49
0.349833,-2.449026E-26,-5.361394E-50,1.011953E-26,-6.906801E-50
0.354849,-1.3849E-26,2.936981E-49,2.355776E-26,-5.096781E-49
0.3699,-1.658527E-26,-2.243524E-49,-1.1148E-26,3.037262E-49
0.374916,-2.010038E-26,4.821638E-50,1.674757E-26,-2.263321E-49
0.38495,1.133239E-27,1.363723E-50,-8.97903E-27,8.857875E-50
0.379933,-7.655137E-27,1.828884E-49,1.763234E-26,-3.406352E-49
0.389967,-5.560256E-27,-1.681478E-49,-2.155889E-26,3.686479E-49
0.4,-1.533408E-26,7.90596E-50,1.954132E-26,-2.77952E-49
0.394983,-1.699165E-26,-1.084447E-49,-1.726943E-27,1.002745E-49
